COD_CURSO,NUM_VERSAO,DESCR_ESTRUTURA,COD_DISCIPLINA,NOME_UNIDADE,NOME_DISCIPLINA,PERIODO_IDEAL,NUM_HORAS,TIPO_DISCIPLINA,CH_TOTAL,DESCR_SITUACAO
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1215,Curso de Ciência da Computação - Bacharelado,SISTEMAS OPERACIONAIS,5,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1218,Curso de Ciência da Computação - Bacharelado,BANCO DE DADOS,6,48,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1218,Curso de Ciência da Computação - Bacharelado,BANCO DE DADOS,6,12,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1221,Curso de Ciência da Computação - Bacharelado,ENGENHARIA DE SOFTWARE,7,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1237,Curso de Ciência da Computação - Bacharelado,MATEM�TICA DISCRETA,3,15,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1238,Curso de Ciência da Computação - Bacharelado,OTIMIZA��O,5,15,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1316,Curso de Ciência da Computação - Bacharelado,PROGRAMAÇÃO PARALELA,6,40,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1350,Curso de Ciência da Computação - Bacharelado,INTERA��O HUMANO-COMPUTADOR,4,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CMA111,Curso de Ciência da Computação - Bacharelado,C�LCULO 1A,1,90,Obrigatória,90,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CMA211,Curso de Ciência da Computação - Bacharelado,C�LCULO 2A,2,90,Obrigatória,90,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CM303,Curso de Ciência da Computação - Bacharelado,INTRODUÇÃO � GEOMETRIA ANAL�TICA E �LGEBRA LINEAR,2,60,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CM304,Curso de Ciência da Computação - Bacharelado,COMPLEMENTOS DE MATEMÁTICA,1,60,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI087,Curso de Ciência da Computação - Bacharelado,TOPICOS EM BANCO DE DADOS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1008,Curso de Ciência da Computação - Bacharelado,INTRODUÇÃO A SISTEMAS EMBARCADOS,,40,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1009,Curso de Ciência da Computação - Bacharelado,Computação PARALELA COM GPUS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1010,Curso de Ciência da Computação - Bacharelado,PROGRAMAÇÃO WEB,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1011,Curso de Ciência da Computação - Bacharelado,RECONHECIMENTO DE PADR�ES,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1012,Curso de Ciência da Computação - Bacharelado,ALGORITMOS ALEATORIZADOS,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1013,Curso de Ciência da Computação - Bacharelado,GRANDES IDEIAS DA Computação TE�RICA,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1014,Curso de Ciência da Computação - Bacharelado,REDES SOCIAIS E ECON�MICAS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1015,Curso de Ciência da Computação - Bacharelado,TESTE DE SOFTWARE,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1016,Curso de Ciência da Computação - Bacharelado,T�CNICAS EM MODELAGEM DE APLICA��ES,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1017,Curso de Ciência da Computação - Bacharelado,CRIPTOGRAFIA,,20,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1020,Curso de Ciência da Computação - Bacharelado,ROB�TICA M�VEL,,40,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1021,Curso de Ciência da Computação - Bacharelado,PROGRAMAÇÃO DE DISPOSITIVOS M�VEIS,,52,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1022,Curso de Ciência da Computação - Bacharelado,PROJETO DE SISTEMAS DIGITAIS,,20,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1023,Curso de Ciência da Computação - Bacharelado,PROJETO DE SISTEMAS EMBARCADOS,,20,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1025,Curso de Ciência da Computação - Bacharelado,DISPOSITIVOS REPROGRAM�VEIS,,48,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1026,Curso de Ciência da Computação - Bacharelado,VIS�O COMPUTACIONAL E PERCEP��O,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1028,Curso de Ciência da Computação - Bacharelado,BIOMETRIA E VIGIL�NCIA POR VIS�O COMPUTACIONAL,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1084,Curso de Ciência da Computação - Bacharelado,T�PICOS EM TEORIA DOS GRAFOS,,15,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1086,Curso de Ciência da Computação - Bacharelado,ARQUITETURAS DE ALTO DESEMPENHO,,25,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1087,Curso de Ciência da Computação - Bacharelado,T�PICOS EM BANCO DE DADOS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1088,Curso de Ciência da Computação - Bacharelado,SISTEMAS DISTRIBU�DOS,,54,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1090,Curso de Ciência da Computação - Bacharelado,T�PICOS EM ENGENHARIA DE SOFTWARE,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1091,Curso de Ciência da Computação - Bacharelado,AVALIA��O DE DESEMPENHO,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1170,Curso de Ciência da Computação - Bacharelado,T�PICOS EM Computação BIOINSPIRADA,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1171,Curso de Ciência da Computação - Bacharelado,APRENDIZADO DE M�QUINA,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1173,Curso de Ciência da Computação - Bacharelado,Computação GR�FICA,,48,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1175,Curso de Ciência da Computação - Bacharelado,OFICINA DE Computação,,10,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1175,Curso de Ciência da Computação - Bacharelado,OFICINA DE Computação,,50,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1176,Curso de Ciência da Computação - Bacharelado,T�PICOS EM VIS�O COMPUTACIONAL,,10,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1177,Curso de Ciência da Computação - Bacharelado,T�PICOS EM Computação GR�FICA,,10,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1204,Curso de Ciência da Computação - Bacharelado,INOVA��O TECNOL�GICA E GEST�O DE PROJETOS,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1205,Curso de Ciência da Computação - Bacharelado,ADMINISTRA��O DE PRODU��O PARA INFORM�TICA,,10,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1219,Curso de Ciência da Computação - Bacharelado,SISTEMAS AVAN�ADOS DE BANCO DE DADOS,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1220,Curso de Ciência da Computação - Bacharelado,TEORIA DE SISTEMAS,,10,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1311,Curso de Ciência da Computação - Bacharelado,FUNDAMENTOS L�GICOS DA INTELIG�NCIA ARTIFICIAL,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1315,Curso de Ciência da Computação - Bacharelado,PROJETO DE SISTEMAS OPERACIONAIS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1338,Curso de Ciência da Computação - Bacharelado,GEOMETRIA COMPUTACIONAL,,15,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1339,Curso de Ciência da Computação - Bacharelado,COMPLEXIDADE COMPUTACIONAL,,15,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1351,Curso de Ciência da Computação - Bacharelado,T�PICOS EM INTERA��O HUMANO-COMPUTADOR,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1352,Curso de Ciência da Computação - Bacharelado,DESIGN DE SISTEMAS SOCIOT�CNICOS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1353,Curso de Ciência da Computação - Bacharelado,PR�TICA EM DESENVOLVIMENTO DE SOFTWARE,,,,,
21A,2019,Núcleo de Conteúdos Optativos,CI1355,Curso de Ciência da Computação - Bacharelado,T�PICOS EM ALGORITMOS,,15,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1360,Curso de Ciência da Computação - Bacharelado,REDES M�VEIS,,20,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1365,Curso de Ciência da Computação - Bacharelado,T�PICOS EM REDES DE COMPUTADORES,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1366,Curso de Ciência da Computação - Bacharelado,GERENCIAMENTO DE REDES DE COMPUTADORES,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1367,Curso de Ciência da Computação - Bacharelado,T�PICOS EM SIMULA��O DE SISTEMAS COMPUTACIONAIS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1394,Curso de Ciência da Computação - Bacharelado,PROCESSAMENTO DE IMAGENS,,30,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI1397,Curso de Ciência da Computação - Bacharelado,SISTEMAS TUTORES INTELIGENTES,,60,Optativa,60,ATIVA
21A,2019,Núcleo de Conteúdos Optativos,CI171,Curso de Ciência da Computação - Bacharelado,APRENDIZADO DE M�QUINAS,,30,Optativa,60,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1070,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM ENGENHARIA DE SOFTWARE,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1072,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM BANCOS DE DADOS,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1074,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM REDES DE COMPUTADORES,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1076,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM ADMINISTRA��O DE INFORM�TICA,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1078,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM Computação GR�FICA,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1080,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM INTELIG�NCIA ARTIFICIAL,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1082,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM ORGANIZA��O E ARQUITETURA DE COMPUTADORES,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1098,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM INFORM�TICA NA EDUCA��O,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1250,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM ALGORITMOS E GRAFOS,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1252,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM TEORIA DA Computação,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1254,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM SISTEMAS DIGITAIS,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1256,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO I EM SISTEMAS OPERACIONAIS,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1258,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO I EM INTERA��O HUMANO-COMPUTADOR,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 1,CI1260,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 1 EM PROCESSAMENTO DE IMAGENS,7,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1071,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM ENGENHARIA DE SOFTWARE,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1073,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM BANCOS DE DADOS,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1075,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM REDES DE COMPUTADORES,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1077,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM ADMINISTRA��O DE INFORM�TICA,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1079,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM Computação GR�FICA,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1081,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM INTELIG�NCIA ARTIFICIAL,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1083,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM ORGANIZA��O E ARQUITETURA DE COMPUTADORES,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1099,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM INFORM�TICA NA EDUCA��O,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1251,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM ALGORITMOS E GRAFOS,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1253,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM TEORIA DA Computação,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1255,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM SISTEMAS DIGITAIS,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1257,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM SISTEMAS OPERACIONAIS,8,150,Obrigatória,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1259,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM INTERA��O HUMANO-COMPUTADOR,8,150,Optativa,150,ATIVA
21A,2019,Trabalho de Conclusão de Curso 2,CI1261,Curso de Ciência da Computação - Bacharelado,TRABALHO DE Conclusão DE CURSO 2 EM PROCESSAMENTO DE IMAGENS,8,150,Optativa,150,ATIVA
